created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time
33:02.1,PRECIPITATION,WEATHERRESTAURANTS,STAGING,TABLE,,,23164,102912,SYSADMIN,1
17:07.7,TEMPERATURE,WEATHERRESTAURANTS,STAGING,TABLE,,,23157,153600,SYSADMIN,1
31:52.9,YELP_BUSINESS,WEATHERRESTAURANTS,STAGING,TABLE,,,160584,14560768,SYSADMIN,1
31:53.4,YELP_CHECKIN,WEATHERRESTAURANTS,STAGING,TABLE,,,138876,114779136,SYSADMIN,1
31:53.9,YELP_COVID,WEATHERRESTAURANTS,STAGING,TABLE,,,209874,5615104,SYSADMIN,1
31:54.3,YELP_REVIEW,WEATHERRESTAURANTS,STAGING,TABLE,,,8634642,2717021184,SYSADMIN,1
31:54.7,YELP_TIP,WEATHERRESTAURANTS,STAGING,TABLE,,,1162051,74651136,SYSADMIN,1
31:55.1,YELP_USER,WEATHERRESTAURANTS,STAGING,TABLE,,,2189448,2167627264,SYSADMIN,1
